title,address,city,state,postal_code,price,zestimate,zestimate_rent,price_to_rent_ratio,facts and features,real estate provider,url
Townhouse for sale,,Washington,DC,20001,"$530,000",549902,2300,0.42,"2 bds, 2.0 ba ,834 sqft",Keller Williams Preferred Properties,https://www.zillow.com/homedetails/18-O-St-NW-APT-A-Washington-DC-20001/121341267_zpid/
House for sale,,Washington,DC,20001,"$674,900",,,,"2 bds, 2.0 ba ,952 sqft",McWilliams/Ballard Inc.,https://www.zillow.com/homedetails/1112-5th-St-1-W-Washington-DC-20001/2074322205_zpid/
New construction,,Washington,DC,20001,"$619,900",619903,,,"2 bds, 2.0 ba ,1054 sqft",RLAH Real Estate,https://www.zillow.com/homedetails/2812-Georgia-Ave-NW-8-Washington-DC-20001/2077847284_zpid/
New construction,,Washington,DC,20001,"$699,900",,,,"2 bds, 2.0 ba ,None sqft",Compass,https://www.zillow.com/homedetails/1225-11th-St-NW-5-Washington-DC-20001/2075081467_zpid/
Townhouse for sale,,Washington,DC,20001,"$699,900",695502,2950,0.42,"3 bds, 3.0 ba ,864 sqft",Fairfax Realty Elite,https://www.zillow.com/homedetails/744-Columbia-Rd-NW-Washington-DC-20001/474485_zpid/
Under Contract,,Washington,DC,20001,"$599,950",628936,2200,0.35,"2 bds, 2.0 ba ,832 sqft",Exit Landmark Realty,https://www.zillow.com/homedetails/420-Oakdale-Pl-NW-Washington-DC-20001/479322_zpid/
Under Contract,,Washington,DC,20001,"$475,000",792753,2800,0.35,"4 bds, 4.0 ba ,1500 sqft",HomeSmart,https://www.zillow.com/homedetails/629-Columbia-Rd-NW-Washington-DC-20001/479164_zpid/
Condo for sale,,Washington,DC,20001,"$725,000",725003,2050,0.28,"2 bds, 2.0 ba ,936 sqft",TTR Sotheby's International Realty,https://www.zillow.com/homedetails/811-4th-St-NW-UNIT-1218-Washington-DC-20001/183137248_zpid/
Condo for sale,,Washington,DC,20001,"$774,000",770239,2200,0.29,"2 bds, 2.0 ba ,1744 sqft",Keller Williams Capital Properties,https://www.zillow.com/homedetails/1543-6th-St-NW-APT-100-Washington-DC-20001/88806614_zpid/
Condo for sale,,Washington,DC,20001,"$749,900",751438,3200,0.43,"2 bds, 2.0 ba ,1180 sqft","Long & Foster Real Estate, Inc.",https://www.zillow.com/homedetails/220-P-St-NW-APT-3-Washington-DC-20001/2099278311_zpid/
Condo for sale,,Washington,DC,20001,"$619,900",619905,2900,0.47,"2 bds, 2.0 ba ,878 sqft",Fairfax Realty Premier,https://www.zillow.com/homedetails/1610-11th-St-NW-APT-2B-Washington-DC-20001/71721811_zpid/
Condo for sale,,Washington,DC,20001,"$689,000",689004,,,"2 bds, 2.0 ba ,1100 sqft","Maven Realty, LLC",https://www.zillow.com/homedetails/1010-Massachusetts-Ave-NW-PENTHOUSE-202-Washington-DC-20001/2075235769_zpid/
Condo for sale,,Washington,DC,20001,"$647,900",659831,2850,0.43,"2 bds, 2.0 ba ,1050 sqft","Long & Foster Real Estate, Inc.",https://www.zillow.com/homedetails/2120-Vermont-Ave-NW-APT-116-Washington-DC-20001/71739229_zpid/
New construction,,Washington,DC,20001,"$749,900",,,,"2 bds, 2.0 ba ,1009 sqft",McWilliams/Ballard Inc.,https://www.zillow.com/homedetails/810-O-St-NW-APT-209-Washington-DC-20001/2073561408_zpid/
Condo for sale,,Washington,DC,20001,"$435,000",435130,2100,0.48,"2 bds, 2.0 ba ,644 sqft",McEnearney Associates,https://www.zillow.com/homedetails/6-Rhode-Island-Ave-NW-APT-5-Washington-DC-20001/104464205_zpid/
Condo for sale,,Washington,DC,20001,"$559,900",,,,"2 bds, 2.0 ba ,800 sqft",CENTURY 21 New Millennium,https://www.zillow.com/homedetails/30-Hanover-Pl-NW-2-Washington-DC-20001/2079415441_zpid/
New construction,,Washington,DC,20001,"$699,900",,,,"2 bds, 2.0 ba ,882 sqft",McWilliams/Ballard Inc.,https://www.zillow.com/homedetails/2905-Georgia-Ave-NW-401-Washington-DC-20001/2073151370_zpid/
House for sale,,Washington,DC,20001,"$549,000",540445,2450,0.45,"2 bds, 2.0 ba ,761 sqft",The Mayhood Company,https://www.zillow.com/homedetails/301-Massachusetts-Ave-NW-APT-402-Washington-DC-20001/88806324_zpid/
Townhouse for sale,,Washington,DC,20001,"$669,900",669905,,,"2 bds, 2.0 ba ,925 sqft","Long & Foster Real Estate, Inc.",https://www.zillow.com/homedetails/448-M-St-NW-UNIT-1-Washington-DC-20001/311111316_zpid/
Condo for sale,,Washington,DC,20001,"$584,900",584903,2500,0.43,"2 bds, 2.0 ba ,834 sqft",Compass,https://www.zillow.com/homedetails/910-M-St-NW-APT-203-Washington-DC-20001/71739517_zpid/
Condo for sale,,Washington,DC,20001,"$775,000",775004,3250,0.42,"2 bds, 2.0 ba ,1074 sqft",Compass,https://www.zillow.com/homedetails/1010-Massachusetts-Ave-NW-PENTHOUSE-106-Washington-DC-20001/82291401_zpid/
Condo for sale,,Washington,DC,20001,"$675,000",675005,2950,0.44,"2 bds, 2.0 ba ,974 sqft",Realty Brokerage Solutions LLC,https://www.zillow.com/homedetails/777-7th-St-NW-APT-314-Washington-DC-20001/63890185_zpid/
Condo for sale,,Washington,DC,20001,"$749,000",756673,3300,0.44,"2 bds, 3.0 ba ,1174 sqft",RE/MAX Professionals,https://www.zillow.com/homedetails/1013-V-St-NW-2-Washington-DC-20001/123824778_zpid/
Condo for sale,,Washington,DC,20001,"$795,000",840052,3000,0.36,"3 bds, 3.0 ba ,1583 sqft",TTR Sotheby's International Realty,https://www.zillow.com/homedetails/61-N-St-NW-1-Washington-DC-20001/126228569_zpid/
Condo for sale,,Washington,DC,20001,"$625,000",625003,2050,0.33,"2 bds, 2.0 ba ,886 sqft",Compass,https://www.zillow.com/homedetails/440-L-St-NW-UNIT-701-Washington-DC-20001/183137025_zpid/
Apartment for sale,,Washington,DC,20001,"$624,900",664994,3000,0.45,"2 bds, 3.0 ba ,1219 sqft","Central Properties, LLC,",https://www.zillow.com/homedetails/70-Rhode-Island-Ave-NW-APT-502-Washington-DC-20001/63030256_zpid/
Condo for sale,,Washington,DC,20001,"$573,900",605049,2900,0.48,"2 bds, 2.0 ba ,878 sqft",CENTURY 21 New Millennium,https://www.zillow.com/homedetails/910-M-St-NW-APT-323-Washington-DC-20001/71739542_zpid/
Condo for sale,,Washington,DC,20001,"$525,000",519259,2450,0.47,"2 bds, 2.0 ba ,761 sqft",RLAH Real Estate,https://www.zillow.com/homedetails/301-Massachusetts-Ave-NW-APT-302-Washington-DC-20001/88805791_zpid/
Under Contract,,Washington,DC,20001,"$685,000",685004,2050,0.3,"2 bds, 2.0 ba ,970 sqft","McEnearney Associates, Inc.",https://www.zillow.com/homedetails/811-4th-St-NW-UNIT-818-Washington-DC-20001/183136260_zpid/
Condo for sale,,Washington,DC,20001,"$579,000",579004,3000,0.52,"2 bds, 2.0 ba ,1059 sqft",Compass,https://www.zillow.com/homedetails/777-7th-St-NW-APT-706-Washington-DC-20001/63890250_zpid/
New construction,,Washington,DC,20001,"$724,900",,,,"2 bds, 2.0 ba ,1051 sqft",McWilliams/Ballard Inc.,https://www.zillow.com/homedetails/810-O-St-NW-404-Washington-DC-20001/2077382994_zpid/
Apartment for sale,,Washington,DC,20001,"$694,000",683272,3000,0.44,"2 bds, 2.0 ba ,1027 sqft",Realty Brokerage Solutions LLC,https://www.zillow.com/homedetails/777-7th-St-NW-APT-1110-Washington-DC-20001/63890355_zpid/
Condo for sale,,Washington,DC,20001,"$690,000",690004,1995,0.29,"2 bds, 2.0 ba ,929 sqft",City Chic Real Estate,https://www.zillow.com/homedetails/555-Massachusetts-Ave-NW-APT-1003-Washington-DC-20001/68083604_zpid/
Under Contract,,Washington,DC,20001,"$514,000",514003,,,"2 bds, 2.0 ba ,772 sqft",McWilliams/Ballard Inc.,https://www.zillow.com/homedetails/459-Florida-Ave-NW-1-Washington-DC-20001/2078078335_zpid/
Condo for sale,,Washington,DC,20001,"$479,900",535060,2475,0.46,"2 bds, 2.0 ba ,770 sqft","Spring Hill Real Estate, LLC.",https://www.zillow.com/homedetails/223-Florida-Ave-NW-APT-1-Washington-DC-20001/88807615_zpid/
Condo for sale,,Washington,DC,20001,"$689,900",689904,3000,0.43,"2 bds, 2.0 ba ,1055 sqft",Compass,https://www.zillow.com/homedetails/1010-Massachusetts-Ave-NW-UNIT-1213-Washington-DC-20001/82295865_zpid/
Under Contract,,Washington,DC,20001,"$647,000",669334,2950,0.44,"2 bds, 2.0 ba ,1060 sqft",Redfin Corp,https://www.zillow.com/homedetails/1910-8th-St-NW-APT-1-Washington-DC-20001/108416313_zpid/
New construction,,Washington,DC,20001,"$799,900",799900,,,"2 bds, 2.0 ba ,1002 sqft",McWilliams/Ballard Inc.,https://www.zillow.com/homedetails/57-N-St-NW-532-Washington-DC-20001/2075082233_zpid/
Condo for sale,,Washington,DC,20001,"$639,000",520408,2500,0.48,"2 bds, 2.0 ba ,863 sqft",McWilliams/Ballard Inc.,https://www.zillow.com/homedetails/919-Florida-Ave-NW-APT-204-Washington-DC-20001/88801790_zpid/
Condo for sale,,Washington,DC,20001,"$735,000",673450,3150,0.47,"2 bds, 2.0 ba ,1036 sqft",Redfin Corp,https://www.zillow.com/homedetails/811-4th-St-NW-UNIT-1017-Washington-DC-20001/82290109_zpid/
Condo for sale,,Washington,DC,20001,"$569,000",564543,2550,0.45,"2 bds, 2.0 ba ,856 sqft","Long & Foster Real Estate, Inc.",https://www.zillow.com/homedetails/910-M-St-NW-APT-403-Washington-DC-20001/71739549_zpid/
Condo for sale,,Washington,DC,20001,"$617,000",610533,2900,0.47,"2 bds, 2.0 ba ,974 sqft","Giant Realty, Inc.",https://www.zillow.com/homedetails/777-7th-St-NW-APT-1014-Washington-DC-20001/63890333_zpid/
